touchpoint_id,customer_id,session_id,journey_id,touchpoint_date,touchpoint_datetime,touchpoint_hour,day_of_week,week_number,month,quarter,year,channel,channel_category,campaign_name,utm_source,utm_medium,touchpoint_position,total_touchpoints,is_first_touch,is_last_touch,position_label,days_since_first_touch,customer_segment,region,device_type,session_duration_sec,pages_viewed,bounce_flag,touchpoint_cost_usd,converted,journey_converted,conversion_date,days_to_conversion,order_value_usd,journey_order_value,is_duplicate_flag
TP-0000021,CUST-00007,SESS-CUST-00007-1,JRN-CUST-00007,2024-08-31,2024-08-31 00:00:00,0.0,Saturday,35,8,Q3,2024,Paid Social,Paid,Back_to_School_Aug,facebook,paid_social,1,1,1,1,First Touch,0,New Customer,Europe,Mobile,124,2,0,1.6959,0,0,,,0.0,0.0,0
TP-0000022,CUST-00008,SESS-CUST-00008-1,JRN-CUST-00008,2024-05-13,2024-05-13 00:00:00,0.0,Monday,20,5,Q2,2024,Email,Owned,Abandoned_Cart,email,email,1,6,1,0,First Touch,0,Loyal Customer,North America,Desktop,217,1,1,0.1674,0,1,2024-06-12,30.0,0.0,244.16,0
TP-0000023,CUST-00008,SESS-CUST-00008-2,JRN-CUST-00008,2024-05-20,2024-05-20 00:00:00,0.0,Monday,21,5,Q2,2024,Email,Owned,Win_Back_Campaign,email,email,2,6,0,0,Mid Touch,6,Loyal Customer,North America,Tablet,275,8,0,0.0922,0,1,2024-06-12,30.0,0.0,244.16,0
TP-0000024,CUST-00008,SESS-CUST-00008-3,JRN-CUST-00008,2024-05-24,2024-05-24 00:00:00,0.0,Friday,21,5,Q2,2024,Paid Search,Paid,Brand_Keywords_Q4,google,cpc,3,6,0,0,Mid Touch,12,Loyal Customer,North America,Desktop,308,3,0,3.4597,0,1,2024-06-12,30.0,0.0,244.16,0
TP-0000025,CUST-00008,SESS-CUST-00008-4,JRN-CUST-00008,2024-05-31,2024-05-31 00:00:00,0.0,Friday,22,5,Q2,2024,Paid Social,Paid,Valentine_Feb,facebook,paid_social,4,6,0,0,Mid Touch,18,Loyal Customer,North America,Mobile,139,6,0,1.1693,0,1,2024-06-12,30.0,0.0,244.16,0
TP-0000026,CUST-00008,SESS-CUST-00008-5,JRN-CUST-00008,2024-06-03,2024-06-03 00:00:00,0.0,Monday,23,6,Q2,2024,Email,Owned,Abandoned_Cart,email,email,5,6,0,0,Mid Touch,24,Loyal Customer,North America,Mobile,206,7,0,0.2001,0,1,2024-06-12,30.0,0.0,244.16,0
TP-0000027,CUST-00008,SESS-CUST-00008-6,JRN-CUST-00008,2024-06-09,2024-06-09 00:00:00,0.0,Sunday,23,6,Q2,2024,Email,Owned,VIP_Exclusive,email,email,6,6,0,1,Last Touch,30,Loyal Customer,North America,Mobile,388,5,0,0.1782,1,1,2024-06-12,30.0,244.16,244.16,0
TP-0000028,CUST-00009,SESS-CUST-00009-1,JRN-CUST-00009,2024-04-15,2024-04-15 00:00:00,0.0,Monday,16,4,Q2,2024,Influencer,Paid,BF_Partners_Q4,influencer,influencer,1,4,1,0,First Touch,0,VIP Customer,North America,Desktop,52,6,0,5.3107,0,1,2024-04-27,13.0,0.0,304.05,0
TP-0000029,CUST-00009,SESS-CUST-00009-2,JRN-CUST-00009,2024-04-17,2024-04-17 00:00:00,0.0,Wednesday,16,4,Q2,2024,Paid Search,Paid,Generic_Search_Q2,google,cpc,2,4,0,0,Mid Touch,4,VIP Customer,North America,Desktop,196,4,0,3.8143,0,1,2024-04-27,13.0,0.0,304.05,0
TP-0000030,CUST-00009,SESS-CUST-00009-3,JRN-CUST-00009,2024-04-21,2024-04-21 00:00:00,0.0,Sunday,16,4,Q2,2024,Paid Search,Paid,Generic_Search_Q2,google,cpc,3,4,0,0,Mid Touch,8,VIP Customer,North America,Desktop,112,5,0,4.4903,0,1,2024-04-27,13.0,0.0,304.05,0
TP-0000031,CUST-00009,SESS-CUST-00009-4,JRN-CUST-00009,2024-04-24,2024-04-24 00:00:00,0.0,Wednesday,17,4,Q2,2024,Paid Search,Paid,Competitor_Conquest_Q3,google,cpc,4,4,0,1,Last Touch,13,VIP Customer,North America,Desktop,150,4,0,2.5232,1,1,2024-04-27,13.0,304.05,304.05,0
TP-0000032,CUST-00010,SESS-CUST-00010-1,JRN-CUST-00010,2024-01-03,2024-01-03 00:00:00,0.0,Wednesday,1,1,Q1,2024,Paid Search,Paid,Brand_Keywords_Q1,google,cpc,1,6,1,0,First Touch,0,New Customer,Europe,Desktop,231,4,0,3.9632,0,1,2024-01-17,15.0,0.0,57.0,0
TP-0000033,CUST-00010,SESS-CUST-00010-2,JRN-CUST-00010,2024-01-04,2024-01-04 00:00:00,0.0,Thursday,1,1,Q1,2024,Paid Search,Paid,RLSA_Retargeting,google,cpc,2,6,0,0,Mid Touch,3,New Customer,Europe,Mobile,202,4,0,3.6331,0,1,2024-01-17,15.0,0.0,57.0,0
TP-0000034,CUST-00010,SESS-CUST-00010-3,JRN-CUST-00010,2024-01-08,2024-01-08 00:00:00,0.0,Monday,2,1,Q1,2024,Paid Social,Paid,Spring_Sale_Mar,facebook,paid_social,3,6,0,0,Mid Touch,6,New Customer,Europe,Desktop,97,3,0,0.9422,0,1,2024-01-17,15.0,0.0,57.0,0
TP-0000035,CUST-00010,SESS-CUST-00010-4,JRN-CUST-00010,2024-01-09,2024-01-09 00:00:00,0.0,Tuesday,2,1,Q1,2024,Paid Search,Paid,Product_Keywords_Q4,google,cpc,4,6,0,0,Mid Touch,9,New Customer,Europe,Desktop,165,1,1,2.2378,0,1,2024-01-17,15.0,0.0,57.0,0
TP-0000036,CUST-00010,SESS-CUST-00010-5,JRN-CUST-00010,2024-01-13,2024-01-13 00:00:00,0.0,Saturday,2,1,Q1,2024,Email,Owned,Weekly_Newsletter,email,email,5,6,0,0,Mid Touch,12,New Customer,Europe,Desktop,117,3,0,0.1178,0,1,2024-01-17,15.0,0.0,57.0,0
TP-0000037,CUST-00010,SESS-CUST-00010-6,JRN-CUST-00010,2024-01-15,2024-01-15 00:00:00,0.0,Monday,3,1,Q1,2024,Paid Social,Paid,Xmas_Dec,facebook,paid_social,6,6,0,1,Last Touch,15,New Customer,Europe,Mobile,89,2,0,1.0685,1,1,2024-01-17,15.0,57.0,57.0,0
TP-0000038,CUST-00011,SESS-CUST-00011-1,JRN-CUST-00011,2024-10-24,2024-10-24 00:00:00,0.0,Thursday,43,10,Q4,2024,SEO/Organic,Earned,Blog_Traffic,organic,organic,1,3,1,0,First Touch,0,Loyal Customer,North America,Desktop,311,2,0,0.0,0,1,2024-10-29,5.0,0.0,111.43,0
TP-0000039,CUST-00011,SESS-CUST-00011-2,JRN-CUST-00011,2024-10-25,2024-10-25 00:00:00,0.0,Friday,43,10,Q4,2024,Paid Search,Paid,Generic_Search_Q2,google,cpc,2,3,0,0,Mid Touch,2,Loyal Customer,North America,Mobile,180,2,0,2.878,0,1,2024-10-29,5.0,0.0,111.43,0
TP-0000040,CUST-00011,SESS-CUST-00011-3,JRN-CUST-00011,2024-10-27,2024-10-27 00:00:00,0.0,Sunday,43,10,Q4,2024,Paid Search,Paid,Product_Keywords_Q4,google,cpc,3,3,0,1,Last Touch,5,Loyal Customer,North America,Mobile,146,1,1,2.0414,1,1,2024-10-29,5.0,111.43,111.43,0
TP-0000041,CUST-00012,SESS-CUST-00012-1,JRN-CUST-00012,2024-10-07,2024-10-07 00:00:00,0.0,Monday,41,10,Q4,2024,Influencer,Paid,Micro_Beauty_Q2,influencer,influencer,1,5,1,0,First Touch,0,Lapsed Customer,Asia Pacific,Mobile,44,2,0,7.8909,0,0,,,0.0,0.0,0
TP-0000042,CUST-00012,SESS-CUST-00012-2,JRN-CUST-00012,2024-10-09,2024-10-09 00:00:00,0.0,Wednesday,41,10,Q4,2024,Paid Search,Paid,Brand_Keywords_Q4,google,cpc,2,5,0,0,Mid Touch,3,Lapsed Customer,Asia Pacific,Desktop,111,3,0,3.7671,0,0,,,0.0,0.0,0
TP-0000043,CUST-00012,SESS-CUST-00012-3,JRN-CUST-00012,2024-10-11,2024-10-11 00:00:00,0.0,Friday,41,10,Q4,2024,Paid Social,Paid,Back_to_School_Aug,facebook,paid_social,3,5,0,0,Mid Touch,7,Lapsed Customer,Asia Pacific,Mobile,75,5,0,1.8533,0,0,,,0.0,0.0,0
TP-0000044,CUST-00012,SESS-CUST-00012-4,JRN-CUST-00012,2024-10-14,2024-10-14 00:00:00,0.0,Monday,42,10,Q4,2024,Influencer,Paid,BF_Partners_Q4,influencer,influencer,4,5,0,0,Mid Touch,10,Lapsed Customer,Asia Pacific,Mobile,58,4,0,2.2348,0,0,,,0.0,0.0,0
TP-0000045,CUST-00012,SESS-CUST-00012-5,JRN-CUST-00012,2024-10-18,2024-10-18 00:00:00,0.0,Friday,42,10,Q4,2024,SEO/Organic,Earned,Blog_Traffic,organic,organic,5,5,0,1,Last Touch,14,Lapsed Customer,Asia Pacific,Mobile,248,2,0,0.0,0,0,,,0.0,0.0,0
TP-0000046,CUST-00013,SESS-CUST-00013-1,JRN-CUST-00013,2024-08-19,2024-08-19 00:00:00,0.0,Monday,34,8,Q3,2024,Email,Owned,Post_Purchase,email,email,1,2,1,0,First Touch,0,Returning Customer,Latin America,Mobile,185,6,0,0.0732,0,1,2024-08-25,8.0,0.0,55.88,0
TP-0000047,CUST-00013,SESS-CUST-00013-2,JRN-CUST-00013,2024-08-21,2024-08-21 00:00:00,0.0,Wednesday,34,8,Q3,2024,Influencer,Paid,BF_Partners_Q4,influencer,influencer,2,2,0,1,Last Touch,8,Returning Customer,Latin America,Mobile,74,4,0,3.3289,1,1,2024-08-25,8.0,55.88,55.88,0
TP-0000048,CUST-00014,SESS-CUST-00014-1,JRN-CUST-00014,2024-01-16,2024-01-16 00:00:00,0.0,Tuesday,3,1,Q1,2024,Paid Social,Paid,Awareness_Jan,facebook,paid_social,1,5,1,0,First Touch,0,Returning Customer,Europe,Desktop,16,4,0,1.8456,0,1,2024-01-17,1.0,0.0,96.38,0
TP-0000049,CUST-00014,SESS-CUST-00014-2,JRN-CUST-00014,2024-01-16,2024-01-16 00:00:00,0.0,Tuesday,3,1,Q1,2024,Display,Paid,Retargeting_Display,display,display,2,5,0,0,Mid Touch,0,Returning Customer,Europe,Mobile,49,2,0,0.3918,0,1,2024-01-17,1.0,0.0,96.38,0
TP-0000050,CUST-00014,SESS-CUST-00014-3,JRN-CUST-00014,2024-01-16,2024-01-16 00:00:00,0.0,Tuesday,3,1,Q1,2024,Paid Social,Paid,Xmas_Dec,facebook,paid_social,3,5,0,0,Mid Touch,0,Returning Customer,Europe,,84,1,1,2.3135,0,1,2024-01-17,1.0,0.0,96.38,0
TP-0000051,CUST-00014,SESS-CUST-00014-4,JRN-CUST-00014,2024-01-16,2024-01-16 00:00:00,0.0,Tuesday,3,1,Q1,2024,Paid Social,Paid,Summer_Launch_Jun,facebook,paid_social,4,5,0,0,Mid Touch,0,Returning Customer,Europe,Desktop,7,1,1,1.6875,0,1,2024-01-17,1.0,0.0,96.38,0
TP-0000052,CUST-00014,SESS-CUST-00014-5,JRN-CUST-00014,2024-01-16,2024-01-16 00:00:00,0.0,Tuesday,3,1,Q1,2024,Paid Search,Paid,RLSA_Retargeting,google,cpc,5,5,0,1,Last Touch,1,Returning Customer,Europe,Tablet,169,1,1,3.9975,1,1,2024-01-17,1.0,96.38,96.38,0
TP-0000053,CUST-00015,SESS-CUST-00015-1,JRN-CUST-00015,2024-06-26,2024-06-26 00:00:00,0.0,Wednesday,26,6,Q2,2024,SEO/Organic,Earned,Product_Page_SEO,organic,organic,1,5,1,0,First Touch,0,New Customer,Europe,Desktop,290,4,0,0.0,0,1,2024-07-05,9.0,0.0,41.34,0
TP-0000054,CUST-00015,SESS-CUST-00015-2,JRN-CUST-00015,2024-06-27,2024-06-27 00:00:00,0.0,Thursday,26,6,Q2,2024,Paid Search,Paid,Competitor_Conquest_Q3,google,cpc,2,5,0,0,Mid Touch,2,New Customer,Europe,Mobile,226,3,0,1.592,0,1,2024-07-05,9.0,0.0,41.34,0
TP-0000055,CUST-00015,SESS-CUST-00015-3,JRN-CUST-00015,2024-06-29,2024-06-29 00:00:00,0.0,Saturday,26,6,Q2,2024,SEO/Organic,Earned,Product_Page_SEO,organic,organic,3,5,0,0,Mid Touch,4,New Customer,Europe,Desktop,375,4,0,0.0,0,1,2024-07-05,9.0,0.0,41.34,0
TP-0000056,CUST-00015,SESS-CUST-00015-4,JRN-CUST-00015,2024-07-01,2024-07-01 00:00:00,0.0,Monday,27,7,Q3,2024,Paid Social,Paid,Awareness_Jan,facebook,paid_social,4,5,0,0,Mid Touch,6,New Customer,Europe,Mobile,154,1,1,1.4018,0,1,2024-07-05,9.0,0.0,41.34,0
TP-0000057,CUST-00015,SESS-CUST-00015-5,JRN-CUST-00015,2024-07-03,2024-07-03 00:00:00,0.0,Wednesday,27,7,Q3,2024,Paid Search,Paid,Brand_Keywords_Q4,google,cpc,5,5,0,1,Last Touch,9,New Customer,Europe,Mobile,140,2,0,4.3045,1,1,2024-07-05,9.0,41.34,41.34,0
TP-0000058,CUST-00016,SESS-CUST-00016-1,JRN-CUST-00016,2024-01-21,2024-01-21 00:00:00,0.0,Sunday,3,1,Q1,2024,Influencer,Paid,Micro_Beauty_Q2,influencer,influencer,1,1,1,1,First Touch,0,Lapsed Customer,Asia Pacific,Tablet,104,3,0,3.4873,0,0,,,0.0,0.0,0
TP-0000059,CUST-00017,SESS-CUST-00017-1,JRN-CUST-00017,2024-02-11,2024-02-11 00:00:00,0.0,Sunday,6,2,Q1,2024,SEO/Organic,Earned,Blog_Traffic,organic,organic,1,4,1,0,First Touch,0,VIP Customer,Asia Pacific,Desktop,257,3,0,0.0,0,0,,,0.0,0.0,0
TP-0000060,CUST-00017,SESS-CUST-00017-2,JRN-CUST-00017,2024-02-14,2024-02-14 00:00:00,0.0,Wednesday,7,2,Q1,2024,Email,Owned,Welcome_Series,email,email,2,4,0,0,Mid Touch,4,VIP Customer,Asia Pacific,Mobile,172,1,1,0.1157,0,0,,,0.0,0.0,0
TP-0000061,CUST-00017,SESS-CUST-00017-3,JRN-CUST-00017,2024-02-19,2024-02-19 00:00:00,0.0,Monday,8,2,Q1,2024,Paid Social,Paid,Back_to_School_Aug,facebook,paid_social,3,4,0,0,Mid Touch,8,VIP Customer,Asia Pacific,Desktop,116,1,1,2.2032,0,0,,,0.0,0.0,0
TP-0000062,CUST-00017,SESS-CUST-00017-4,JRN-CUST-00017,2024-02-22,2024-02-22 00:00:00,0.0,Thursday,8,2,Q1,2024,Influencer,Paid,Macro_Q1,influencer,influencer,4,4,0,1,Last Touch,12,VIP Customer,Asia Pacific,Mobile,57,1,1,5.2209,0,0,,,0.0,0.0,0
TP-0000063,CUST-00018,SESS-CUST-00018-1,JRN-CUST-00018,2024-11-28,2024-11-28 00:00:00,0.0,Thursday,48,11,Q4,2024,Paid Search,Paid,Brand_Keywords_Q1,google,cpc,1,5,1,0,First Touch,0,New Customer,North America,Desktop,53,4,0,4.4341,0,1,2024-12-16,21.0,0.0,87.98,0
TP-0000064,CUST-00018,SESS-CUST-00018-2,JRN-CUST-00018,2024-12-02,2024-12-02 00:00:00,0.0,Monday,49,12,Q4,2024,Paid Social,Paid,Spring_Sale_Mar,facebook,paid_social,2,5,0,0,Mid Touch,5,New Customer,North America,Mobile,41,5,0,1.5474,0,1,2024-12-16,21.0,0.0,87.98,0
TP-0000065,CUST-00018,SESS-CUST-00018-3,JRN-CUST-00018,2024-12-04,2024-12-04 00:00:00,0.0,Wednesday,49,12,Q4,2024,Paid Search,Paid,Competitor_Conquest_Q3,google,cpc,3,5,0,0,Mid Touch,10,New Customer,North America,Mobile,148,3,0,1.5394,0,1,2024-12-16,21.0,0.0,87.98,0
TP-0000066,CUST-00018,SESS-CUST-00018-4,JRN-CUST-00018,2024-12-08,2024-12-08 00:00:00,0.0,Sunday,49,12,Q4,2024,SEO/Organic,Earned,Organic_Search,organic,organic,4,5,0,0,Mid Touch,15,New Customer,North America,Desktop,213,2,0,0.0,0,1,2024-12-16,21.0,0.0,87.98,0
TP-0000067,CUST-00018,SESS-CUST-00018-5,JRN-CUST-00018,2024-12-14,2024-12-14 00:00:00,0.0,Saturday,50,12,Q4,2024,Direct,Earned,Bookmark_Return,direct,none,5,5,0,1,Last Touch,21,New Customer,North America,Mobile,246,3,0,0.0,1,1,2024-12-16,21.0,87.98,87.98,0
TP-0000068,CUST-00019,SESS-CUST-00019-1,JRN-CUST-00019,2024-03-04,2024-03-04 00:00:00,0.0,Monday,10,3,Q1,2024,Paid Search,Paid,Brand_Keywords_Q4,google,cpc,1,2,1,0,First Touch,0,Returning Customer,North America,Desktop,251,1,1,4.4698,0,1,2024-03-07,3.0,0.0,144.85,0
TP-0000069,CUST-00019,SESS-CUST-00019-2,JRN-CUST-00019,2024-03-05,2024-03-05 00:00:00,0.0,Tuesday,10,3,Q1,2024,Paid Search,Paid,RLSA_Retargeting,google,cpc,2,2,0,1,Last Touch,3,Returning Customer,North America,Mobile,142,1,1,2.306,1,1,2024-03-07,3.0,144.85,144.85,0
TP-0000070,CUST-00020,SESS-CUST-00020-1,JRN-CUST-00020,2024-05-03,2024-05-03 00:00:00,0.0,Friday,18,5,Q2,2024,Email,Owned,VIP_Exclusive,email,email,1,1,1,1,First Touch,0,Loyal Customer,Latin America,Desktop,248,3,0,0.1356,1,1,2024-05-04,1.0,201.25,201.25,0
TP-0000071,CUST-00021,SESS-CUST-00021-1,JRN-CUST-00021,2024-07-27,2024-07-27 00:00:00,0.0,Saturday,30,7,Q3,2024,Email,Owned,Abandoned_Cart,email,email,1,3,1,0,First Touch,0,Loyal Customer,Europe,Desktop,146,5,0,0.0985,0,0,,,0.0,0.0,0
TP-0000072,CUST-00021,SESS-CUST-00021-2,JRN-CUST-00021,2024-07-27,2024-07-27 00:00:00,0.0,Saturday,30,7,Q3,2024,Paid Social,Paid,Xmas_Dec,facebook,paid_social,2,3,0,0,Mid Touch,1,Loyal Customer,Europe,Desktop,130,4,0,1.7436,0,0,,,0.0,0.0,0
TP-0000073,CUST-00021,SESS-CUST-00021-3,JRN-CUST-00021,2024-07-28,2024-07-28 00:00:00,0.0,Sunday,30,7,Q3,2024,Display,Paid,YouTube_Preroll,display,display,3,3,0,1,Last Touch,2,Loyal Customer,Europe,Desktop,29,3,0,0.4248,0,0,,,0.0,0.0,0
TP-0000074,CUST-00022,SESS-CUST-00022-1,JRN-CUST-00022,2024-07-21,2024-07-21 00:00:00,0.0,Sunday,29,7,Q3,2024,SEO/Organic,Earned,Product_Page_SEO,organic,organic,1,1,1,1,First Touch,0,Returning Customer,Europe,Mobile,429,6,0,0.0,1,1,2024-08-13,30.0,54.09,54.09,0
TP-0000075,CUST-00023,SESS-CUST-00023-1,JRN-CUST-00023,2024-02-04,2024-02-04 00:00:00,0.0,Sunday,5,2,Q1,2024,Influencer,Paid,Lifestyle_Q3,influencer,influencer,1,6,1,0,First Touch,0,Loyal Customer,North America,Mobile,83,5,0,3.2718,0,1,2024-02-26,22.0,0.0,122.38,0
TP-0000076,CUST-00023,SESS-CUST-00023-2,JRN-CUST-00023,2024-02-09,2024-02-09 00:00:00,0.0,Friday,6,2,Q1,2024,Influencer,Paid,Micro_Beauty_Q2,influencer,influencer,2,6,0,0,Mid Touch,4,Loyal Customer,North America,Desktop,35,2,0,5.7979,0,1,2024-02-26,22.0,0.0,122.38,0
TP-0000077,CUST-00023,SESS-CUST-00023-3,JRN-CUST-00023,2024-02-12,2024-02-12 00:00:00,0.0,Monday,7,2,Q1,2024,Paid Social,Paid,Back_to_School_Aug,facebook,paid_social,3,6,0,0,Mid Touch,8,Loyal Customer,North America,Mobile,46,5,0,2.2362,0,1,2024-02-26,22.0,0.0,122.38,0
TP-0000078,CUST-00023,SESS-CUST-00023-4,JRN-CUST-00023,2024-02-16,2024-02-16 00:00:00,0.0,Friday,7,2,Q1,2024,Paid Social,Paid,Xmas_Dec,facebook,paid_social,4,6,0,0,Mid Touch,13,Loyal Customer,North America,Desktop,76,1,1,1.4595,0,1,2024-02-26,22.0,0.0,122.38,0
TP-0000079,CUST-00023,SESS-CUST-00023-5,JRN-CUST-00023,2024-02-19,2024-02-19 00:00:00,0.0,Monday,8,2,Q1,2024,Influencer,Paid,BF_Partners_Q4,influencer,influencer,5,6,0,0,Mid Touch,17,Loyal Customer,North America,Mobile,54,3,0,5.7721,0,1,2024-02-26,22.0,0.0,122.38,0
